frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
28,True,True,1.000000,0.200000,0.000000,2.950000,895.739990,0.000000,-2.090000,5.180000,-0.510870,0.510915,-0.488854,-0.488876,0.339500,0.000000,0.000000,0.000000,-3.870000,1092.640015,0.000000,-18.240000,105.309998,-0.002576,0.000003,0.000003,0.999997,-0.022300,0.000000,0.000000
29,True,True,1.000000,0.200000,0.000000,2.930000,895.809998,0.000000,-2.470000,8.570000,-0.511593,0.511635,-0.488099,-0.488120,0.355600,0.000000,0.000000,0.000000,-4.020000,1093.469971,0.000000,-18.230000,99.860001,-0.002668,0.000003,0.000003,0.999996,-0.022300,0.000000,0.000000
30,True,True,1.000000,0.200000,0.000000,2.910000,895.909973,0.000000,-2.880000,11.960000,-0.512348,0.512391,-0.487306,-0.487327,0.371400,0.000000,0.000000,0.000000,-4.170000,1094.260010,0.000000,-18.219999,94.409996,-0.002759,0.000003,0.000003,0.999996,-0.022300,0.000000,0.000000
31,True,True,1.000000,0.200000,0.000000,2.880000,896.039978,0.000000,-3.320000,15.349999,-0.513131,0.513176,-0.486480,-0.486502,0.386900,0.000000,0.000000,0.000000,-4.320000,1095.000000,0.000000,-18.209999,88.959999,-0.002851,0.000003,0.000003,0.999996,-0.022300,0.000000,0.000000
32,True,True,1.000000,0.200000,0.000000,2.850000,896.199951,0.000000,-3.790000,18.740000,-0.513945,0.513995,-0.485617,-0.485639,0.402100,0.000000,0.000000,0.000000,-4.470000,1095.699951,0.000000,-18.199999,83.519997,-0.002943,0.000003,0.000003,0.999996,-0.022300,0.000000,0.000000
33,True,True,1.000000,0.200000,0.000000,2.810000,896.380005,0.000000,-4.280000,22.119999,-0.514787,0.514843,-0.484722,-0.484743,0.417000,0.000000,0.000000,0.000000,-4.620000,1096.349976,0.000000,-18.190001,78.080002,-0.003035,0.000003,0.000003,0.999995,-0.022300,0.000000,0.000000
34,True,True,1.000000,0.200000,0.000000,2.770000,896.589966,0.000000,-4.810000,25.500000,-0.515655,0.515719,-0.483794,-0.483815,0.431600,0.000000,0.000000,0.000000,-4.770000,1096.959961,0.000000,-18.180000,72.639999,-0.003126,0.000003,0.000003,0.999995,-0.022300,0.000000,0.000000
35,True,True,1.000000,0.200000,0.000000,2.730000,896.829956,0.000000,-5.370000,28.879999,-0.516551,0.516622,-0.482833,-0.482855,0.445900,0.000000,0.000000,0.000000,-4.920000,1097.520020,0.000000,-18.170000,67.199997,-0.003218,0.000003,0.000003,0.999995,-0.022300,0.000000,0.000000
36,True,True,1.000000,0.200000,0.000000,2.680000,897.099976,0.000000,-5.960000,32.259998,-0.517474,0.517551,-0.481841,-0.481862,0.460000,0.000000,0.000000,0.000000,-5.070000,1098.030029,0.000000,-18.160000,61.759998,-0.003310,0.000003,0.000003,0.999994,-0.022300,0.000000,0.000000
37,True,True,1.000000,0.200000,0.000000,2.630000,897.399963,0.000000,-6.580000,35.639999,-0.518423,0.518507,-0.480816,-0.480837,0.473800,0.000000,0.000000,0.000000,-5.220000,1098.500000,0.000000,-18.150000,56.320000,-0.003401,0.000003,0.000003,0.999994,-0.022300,0.000000,0.000000
38,True,True,1.000000,0.200000,0.000000,2.570000,897.729980,0.000000,-7.240000,39.009998,-0.519399,0.519477,-0.479764,-0.479785,0.487300,0.000000,0.000000,0.000000,-5.370000,1098.919922,0.000000,-18.139999,50.879997,-0.003493,0.000003,0.000003,0.999994,-0.022300,0.000000,0.000000
39,True,True,1.000000,0.200000,0.000000,2.500000,898.079956,0.000000,-7.930000,42.379997,-0.520397,0.520478,-0.478679,-0.478701,0.500600,0.000000,0.000000,0.000000,-5.520000,1099.299927,0.000000,-18.129999,45.450001,-0.003585,0.000003,0.000003,0.999994,-0.022300,0.000000,0.000000
40,True,True,1.000000,0.200000,0.000000,2.430000,898.459961,0.000000,-8.660000,45.750000,-0.521423,0.521503,-0.477563,-0.477584,0.513600,0.000000,0.000000,0.000000,-5.670000,1099.630005,0.000000,-18.119999,40.020000,-0.003677,0.000003,0.000003,0.999993,-0.022300,0.000000,0.000000
41,True,True,1.000000,0.200000,0.000000,2.350000,898.869995,0.000000,-9.429999,49.110001,-0.522469,0.522547,-0.476419,-0.476441,0.526400,0.000000,0.000000,0.000000,-5.820000,1099.919922,0.000000,-18.109999,34.590000,-0.003768,0.000003,0.000003,0.999993,-0.022300,0.000000,0.000000
42,True,True,1.000000,0.200000,0.000000,2.260000,899.309998,0.000000,-10.240000,52.469997,-0.523537,0.523619,-0.475243,-0.475264,0.539000,0.000000,0.000000,0.000000,-5.970000,1100.160034,0.000000,-18.100000,29.160000,-0.003860,0.000003,0.000003,0.999992,-0.022300,0.000000,0.000000
43,True,True,1.000000,0.200000,0.000000,2.170000,899.779968,0.000000,-11.090000,55.829998,-0.524627,0.524708,-0.474040,-0.474061,0.551300,0.000000,0.000000,0.000000,-6.120000,1100.359985,0.000000,-18.090000,23.730000,-0.003952,0.000003,0.000003,0.999992,-0.022300,0.000000,0.000000
44,True,True,1.000000,0.200000,0.000000,2.070000,900.269958,0.000000,-11.980000,59.180000,-0.525738,0.525824,-0.472804,-0.472826,0.563400,0.000000,0.000000,0.000000,-6.270000,1100.510010,0.000000,-18.080000,18.299999,-0.004043,0.000003,0.000003,0.999992,-0.022300,0.000000,0.000000
45,True,True,1.000000,0.200000,0.000000,1.960000,900.789978,0.000000,-12.910000,62.529999,-0.526871,0.526956,-0.471542,-0.471564,0.575300,0.000000,0.000000,0.000000,-6.420000,1100.619995,0.000000,-18.070000,12.870000,-0.004135,0.000003,0.000003,0.999991,-0.022300,0.000000,0.000000
46,True,True,1.000000,0.200000,0.000000,1.840000,901.339966,0.000000,-13.880000,65.869995,-0.528020,0.528109,-0.470253,-0.470274,0.586900,0.000000,0.000000,0.000000,-6.570000,1100.679932,0.000000,-18.059999,7.450000,-0.004227,0.000003,0.000003,0.999991,-0.022300,0.000000,0.000000
47,True,True,1.000000,0.200000,0.000000,1.720000,901.919983,0.000000,-14.889999,69.209999,-0.529191,0.529277,-0.468936,-0.468958,0.598300,0.000000,0.000000,0.000000,-6.720000,1100.699951,0.000000,-18.049999,2.030000,-0.004319,0.000003,0.000003,0.999991,-0.022300,0.000000,0.000000
