frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
31,-30.799999,-41.549999,71.979996,476.359985,186.419998,-1204.900024,-0.222150,0.551666,0.329329,0.733387,1.613200,-0.203200,1.060300,238.979996,166.509995,160.399994,2215.449951,1556.939941,623.000000,0.251574,-0.340140,0.024366,0.905771,3.556400,-4.821900,0.316800
32,-28.879999,-41.430000,72.930000,230.089996,13.840000,-202.529999,-0.264737,0.536102,0.280646,0.750831,-3.990300,-3.540700,-1.337900,257.440002,179.479996,165.589996,2214.879883,1556.539917,622.839966,0.264877,-0.358262,0.025569,0.894894,3.556400,-4.821900,0.316800
33,-27.480000,-41.049999,76.639999,168.389999,45.669998,28.879999,-0.247436,0.536668,0.279168,0.756854,2.322700,0.193600,-2.484700,275.889984,192.449997,170.779999,2214.310059,1556.140015,622.679993,0.278014,-0.376156,0.026756,0.883458,3.556400,-4.821900,0.316800
34,-26.080000,-40.669998,78.250000,168.389999,45.669998,28.869999,-0.232972,0.536992,0.277259,0.761900,2.259200,0.186400,-2.377000,294.339996,205.409988,175.970001,2213.739990,1555.739990,622.519958,0.290978,-0.393814,0.027926,0.871472,3.556400,-4.821900,0.316800
35,-24.680000,-40.290001,78.839996,168.389999,45.669998,28.869999,-0.220208,0.537165,0.275198,0.766308,2.197700,0.178800,-2.273800,312.779999,218.369995,181.159988,2213.169922,1555.339966,622.359985,0.303758,-0.411228,0.029081,0.858939,3.556400,-4.821900,0.316800
36,-23.279999,-39.910000,79.080002,168.389999,45.669998,28.869999,-0.208302,0.537213,0.273175,0.770317,2.138100,0.170900,-2.175000,331.220001,231.330002,186.349991,2212.599854,1554.939941,622.200012,0.316349,-0.428383,0.030214,0.845871,3.556400,-4.821900,0.316800
37,-21.879999,-39.529999,79.320000,168.389999,45.669998,28.869999,-0.196768,0.537132,0.271276,0.774068,2.080300,0.162800,-2.080300,349.649994,244.279999,191.529999,2212.030029,1554.539917,622.039978,0.328741,-0.445275,0.031330,0.832273,3.556400,-4.821900,0.316800
38,-20.480000,-39.149998,79.559998,168.389999,45.669998,28.869999,-0.185595,0.536938,0.269495,0.777576,2.024200,0.154500,-1.989600,368.079987,257.229980,196.709991,2211.459961,1554.140015,621.880005,0.340928,-0.461885,0.032426,0.818155,3.556400,-4.821900,0.316800
39,-19.080000,-38.770000,79.799995,168.389999,45.669998,28.869999,-0.174779,0.536636,0.267834,0.780858,1.969800,0.146100,-1.902700,386.500000,270.179993,201.889999,2210.889893,1553.739990,621.719971,0.352905,-0.478210,0.033499,0.803524,3.556400,-4.821900,0.316800
40,-17.680000,-38.389999,80.040001,168.389999,45.669998,28.869999,-0.164307,0.536237,0.266285,0.783929,1.917100,0.137700,-1.819400,404.919983,283.119995,207.069992,2210.320068,1553.339966,621.559998,0.364660,-0.494233,0.034551,0.788393,3.556400,-4.821900,0.316800
