frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
54,False,False,False,False,0.000000,1.000000,1.230000,4.180000,169.139999,2.960000,12.990000,233.199997,0.754173,-0.005619,-0.006282,-0.656622,-5.499200,0.000000,0.092800
55,False,False,False,False,0.000000,1.000000,1.250000,4.290000,171.039993,2.960000,12.990000,227.779999,0.769288,-0.005468,-0.006406,-0.638846,-5.499200,0.000000,0.092700
56,False,False,False,False,0.000000,1.000000,1.270000,4.400000,172.889999,2.960000,12.990000,222.360001,0.783983,-0.005311,-0.006530,-0.620725,-5.499200,0.000000,0.092600
57,False,False,False,False,0.000000,1.000000,1.290000,4.510000,174.699997,2.960000,12.990000,216.940002,0.798253,-0.005155,-0.006649,-0.602264,-5.499200,0.000000,0.092600
58,False,False,False,False,0.000000,1.000000,1.310000,4.620000,176.459991,2.960000,12.990000,211.519989,0.812088,-0.004993,-0.006762,-0.583474,-5.499200,0.000000,0.092600
59,False,False,False,False,0.000000,1.000000,1.330000,4.730000,178.179993,2.960000,12.990000,206.099991,0.825479,-0.004831,-0.006876,-0.564371,-5.499200,0.000000,0.092500
60,False,False,False,False,0.000000,1.000000,1.350000,4.840000,179.849991,2.960000,12.990000,200.679993,0.838420,-0.004664,-0.006984,-0.544960,-5.499200,0.000000,0.092500
61,False,False,False,False,0.000000,1.000000,1.370000,4.950000,181.479996,2.960000,12.990000,195.259995,0.850905,-0.004497,-0.007086,-0.525253,-5.499200,0.000000,0.092400
62,False,False,False,False,0.000000,1.000000,1.390000,5.060000,183.059998,2.960000,12.990000,189.839996,0.862927,-0.004329,-0.007183,-0.505260,-5.499200,0.000000,0.092400
63,False,False,False,False,0.000000,1.000000,1.410000,5.170000,184.599991,2.960000,12.990000,184.419998,0.874479,-0.004157,-0.007280,-0.484991,-5.499200,0.000000,0.092300
64,False,False,False,False,0.000000,1.000000,1.430000,5.280000,186.089996,2.960000,12.990000,179.000000,0.885555,-0.003984,-0.007372,-0.464459,-5.499200,0.000000,0.092300
65,False,False,False,False,0.000000,1.000000,1.450000,5.390000,187.539993,2.960000,12.990000,173.580002,0.896150,-0.003806,-0.007458,-0.443672,-5.499200,0.000000,0.092200
66,False,False,False,False,0.000000,1.000000,1.470000,5.500000,188.940002,2.960000,12.990000,168.160004,0.906257,-0.003628,-0.007539,-0.422643,-5.499200,0.000000,0.092200
