frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
49,True,True,-1.000000,1.000000,165.769989,-71.869995,18.330000,656.779968,-508.089996,8.170000,0.002689,0.008046,-0.320449,0.947228,0.000400,-0.000200,-2.403600
50,True,True,-1.000000,1.000000,171.300003,-76.150002,18.330000,657.849976,-527.659973,8.179999,0.002770,0.008019,-0.329917,0.943972,0.000400,-0.000200,-2.409700
51,True,True,-1.000000,1.000000,176.839996,-80.589996,18.330000,658.239990,-547.409973,8.179999,0.002851,0.007992,-0.339380,0.940611,0.000400,-0.000300,-2.414600
52,True,True,-1.000000,1.000000,182.379990,-85.199997,18.330000,657.959961,-567.320007,8.179999,0.002932,0.007965,-0.348826,0.937149,0.000400,-0.000300,-2.418400
53,True,True,-1.000000,1.000000,187.919998,-89.970001,18.330000,657.000000,-587.359985,8.179999,0.003013,0.007933,-0.358251,0.933587,0.000400,-0.000400,-2.421100
54,True,True,-1.000000,1.000000,193.449997,-94.909996,18.330000,655.369995,-607.510010,8.179999,0.003094,0.007901,-0.367649,0.929926,0.000400,-0.000400,-2.422800
55,True,True,-1.000000,1.000000,198.959991,-100.019997,18.330000,653.059998,-627.750000,8.179999,0.003175,0.007868,-0.377019,0.926166,0.000500,-0.000400,-2.423400
56,True,True,-1.000000,1.000000,204.449997,-105.299995,18.330000,650.079956,-648.059998,8.179999,0.003256,0.007836,-0.386353,0.922312,0.000500,-0.000400,-2.423100
57,True,True,-1.000000,1.000000,209.919998,-110.750000,18.330000,646.440002,-668.409973,8.179999,0.003337,0.007804,-0.395642,0.918365,0.000500,-0.000400,-2.421800
58,True,True,-1.000000,1.000000,215.349991,-116.369995,18.330000,642.130005,-688.779968,8.179999,0.003418,0.007771,-0.404889,0.914326,0.000500,-0.000400,-2.419500
59,True,True,-1.000000,1.000000,220.750000,-122.159996,18.330000,637.169983,-709.149963,8.179999,0.003499,0.007733,-0.414087,0.910198,0.000500,-0.000400,-2.416300
60,True,True,-1.000000,1.000000,226.110001,-128.119995,18.330000,631.559998,-729.489990,8.179999,0.003579,0.007696,-0.423231,0.905982,0.000500,-0.000400,-2.412200
61,True,True,-1.000000,1.000000,231.419998,-134.250000,18.330000,625.299988,-749.789978,8.179999,0.003660,0.007658,-0.432316,0.901682,0.000500,-0.000400,-2.407200
62,True,True,-1.000000,1.000000,236.669998,-140.550003,18.330000,618.409973,-770.019958,8.179999,0.003741,0.007620,-0.441336,0.897301,0.000500,-0.000300,-2.401400
63,True,True,-1.000000,1.000000,241.869995,-147.020004,18.330000,610.890015,-790.169983,8.179999,0.003822,0.007582,-0.450292,0.892841,0.000400,-0.000300,-2.394800
64,True,True,-1.000000,1.000000,247.000000,-153.660004,18.330000,602.709961,-810.229980,8.179999,0.003898,0.007545,-0.459177,0.888304,0.000300,-0.000200,-2.388600
65,True,True,-1.000000,1.000000,252.059998,-160.470001,18.330000,593.839966,-830.190002,8.179999,0.003973,0.007507,-0.467998,0.883689,0.000200,-0.000100,-2.383800
66,True,True,-1.000000,1.000000,257.049988,-167.449997,18.330000,584.299988,-850.019958,8.179999,0.004049,0.007469,-0.476753,0.878996,0.000200,-0.000100,-2.380000
67,True,True,-1.000000,1.000000,261.959991,-174.589996,18.330000,574.099976,-869.699951,8.179999,0.004124,0.007431,-0.485444,0.874226,0.000100,-0.000100,-2.377000
68,True,True,-1.000000,1.000000,266.779999,-181.899994,18.330000,563.269958,-889.209961,8.179999,0.004200,0.007388,-0.494082,0.869374,0.000000,-0.000100,-2.374700
69,True,True,-1.000000,1.000000,271.509979,-189.369995,18.330000,551.809998,-908.529968,8.179999,0.004275,0.007345,-0.502659,0.864443,0.000000,0.000000,-2.372900
70,True,True,-1.000000,1.000000,276.139984,-197.000000,18.330000,539.729980,-927.649963,8.179999,0.004346,0.007302,-0.511183,0.859430,0.000000,0.000000,-2.371400
71,True,True,-1.000000,1.000000,280.669983,-204.789993,18.330000,527.039978,-946.539978,8.179999,0.004416,0.007259,-0.519648,0.854338,0.000000,0.000000,-2.370200
