frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
90,True,True,2.950000,0.000000,258.160004,7.910000,0.000000,330.589996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
91,True,True,3.020000,0.000000,260.869995,7.910000,0.000000,325.169983,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
92,True,True,3.090000,0.000000,263.529999,7.910000,0.000000,319.750000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
93,True,True,3.160000,0.000000,266.149994,7.910000,0.000000,314.329987,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
94,True,True,3.230000,0.000000,268.720001,7.910000,0.000000,308.910004,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
95,True,True,3.300000,0.000000,271.250000,7.910000,0.000000,303.489990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
96,True,True,3.370000,0.000000,273.729980,7.910000,0.000000,298.070007,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
97,True,True,3.440000,0.000000,276.169983,7.910000,0.000000,292.649994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
98,True,True,3.510000,0.000000,278.559998,7.910000,0.000000,287.229980,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
99,True,True,3.580000,0.000000,280.910004,7.910000,0.000000,281.809998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
100,True,True,3.650000,0.000000,283.209991,7.910000,0.000000,276.389984,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
101,True,True,3.720000,0.000000,285.470001,7.910000,0.000000,270.970001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
102,True,True,3.790000,0.000000,287.679993,7.910000,0.000000,265.549988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
103,True,True,3.860000,0.000000,289.850006,7.910000,0.000000,260.130005,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
104,True,True,3.930000,0.000000,291.970001,7.910000,0.000000,254.709991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
105,True,True,4.000000,0.000000,294.049988,7.910000,0.000000,249.289993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
106,True,True,4.070000,0.000000,296.079987,7.910000,0.000000,243.869995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
107,True,True,4.140000,0.000000,298.070007,7.910000,0.000000,238.449997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
108,True,True,4.210000,0.000000,300.009979,7.910000,0.000000,233.029999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
109,True,True,4.280000,0.000000,301.910004,7.910000,0.000000,227.610001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
110,True,True,4.350000,0.000000,303.759979,7.910000,0.000000,222.190002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
111,True,True,4.420000,0.000000,305.570007,7.910000,0.000000,216.769989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
112,True,True,4.490000,0.000000,307.329987,7.910000,0.000000,211.349991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
113,True,True,4.560000,0.000000,309.049988,7.910000,0.000000,205.929993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
114,True,True,4.630000,0.000000,310.720001,7.910000,0.000000,200.509995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
115,True,True,4.700000,0.000000,312.350006,7.910000,0.000000,195.089996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
116,True,True,4.770000,0.000000,313.929993,7.910000,0.000000,189.669998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
117,True,True,4.840000,0.000000,315.470001,7.910000,0.000000,184.250000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
118,True,True,4.910000,0.000000,316.959991,7.910000,0.000000,178.830002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
119,True,True,4.980000,0.000000,318.410004,7.910000,0.000000,173.410004,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
120,True,True,5.050000,0.000000,319.809998,7.910000,0.000000,167.989990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
121,True,True,5.120000,0.000000,321.160004,7.910000,0.000000,162.569992,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
122,True,True,5.190000,0.000000,322.470001,7.910000,0.000000,157.149994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
123,True,True,5.260000,0.000000,323.729980,7.910000,0.000000,151.729996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
124,True,True,5.330000,0.000000,324.949982,7.910000,0.000000,146.309998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
125,True,True,5.400000,0.000000,326.119995,7.910000,0.000000,140.889999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
126,True,True,5.470000,0.000000,327.250000,7.910000,0.000000,135.470001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
127,True,True,5.540000,0.000000,328.329987,7.910000,0.000000,130.050003,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
128,True,True,5.610000,0.000000,329.369995,7.910000,0.000000,124.629997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
129,True,True,5.680000,0.000000,330.359985,7.910000,0.000000,119.209999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
130,True,True,5.750000,0.000000,331.309998,7.910000,0.000000,113.790001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
131,True,True,5.820000,0.000000,332.209991,7.910000,0.000000,108.369995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
132,True,True,5.890000,0.000000,333.070007,7.910000,0.000000,102.949997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
133,True,True,5.960000,0.000000,333.880005,7.910000,0.000000,97.529999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
134,True,True,6.030000,0.000000,334.649994,7.910000,0.000000,92.110001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
135,True,True,6.100000,0.000000,335.369995,7.910000,0.000000,86.689995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
136,True,True,6.170000,0.000000,336.049988,7.910000,0.000000,81.269997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
137,True,True,6.240000,0.000000,336.679993,7.910000,0.000000,75.849998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
138,True,True,6.310000,0.000000,337.269989,7.910000,0.000000,70.430000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
139,True,True,6.380000,0.000000,337.809998,7.910000,0.000000,65.010002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
140,True,True,6.450000,0.000000,338.309998,7.910000,0.000000,59.590000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
141,True,True,6.520000,0.000000,338.759979,7.910000,0.000000,54.169998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
142,True,True,6.590000,0.000000,339.169983,7.910000,0.000000,48.750000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
143,True,True,6.660000,0.000000,339.529999,7.910000,0.000000,43.329998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
144,True,True,6.730000,0.000000,339.850006,7.910000,0.000000,37.910000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
145,True,True,6.800000,0.000000,340.119995,7.910000,0.000000,32.489998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
146,True,True,6.870000,0.000000,340.350006,7.910000,0.000000,27.070000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
