frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
56,0.000000,-2096.199951,93.349998,0.000000,1865.519897,1.620000,-0.308063,0.000003,0.000003,0.951366,-2.921500,0.000000,0.000000
57,0.000000,-2080.659912,93.320000,0.000000,1865.039917,-3.790000,-0.319619,0.000003,0.000003,0.947546,-2.921500,0.000000,0.000000
58,0.000000,-2065.119873,93.239998,0.000000,1864.559937,-9.200000,-0.331131,0.000003,0.000003,0.943585,-2.921500,0.000000,0.000000
59,0.000000,-2049.589844,93.119995,0.000000,1864.079956,-14.610000,-0.342595,0.000003,0.000003,0.939483,-2.921500,0.000000,0.000000
60,0.000000,-2034.140015,93.189995,0.000000,1853.529907,8.760000,-0.355079,0.000003,0.000003,0.934836,-3.197500,0.000000,0.000000
61,0.000000,-2018.699951,93.220001,0.000000,1853.049927,3.340000,-0.367503,0.000003,0.000003,0.930022,-3.197500,0.000000,0.000000
62,0.000000,-2003.260010,93.199997,0.000000,1852.569946,-2.070000,-0.379863,0.000003,0.000003,0.925043,-3.197500,0.000000,0.000000
63,0.000000,-1987.829956,93.139999,0.000000,1852.089966,-7.480000,-0.392152,0.000003,0.000003,0.919900,-3.197500,0.000000,0.000000
64,0.000000,-1972.449951,93.180000,0.000000,1845.529907,4.480000,-0.405008,0.000003,0.000003,0.914313,-3.364100,0.000000,0.000000
65,0.000000,-1957.069946,93.169998,0.000000,1845.059937,-0.930000,-0.417783,0.000003,0.000003,0.908547,-3.364100,0.000000,0.000000
66,0.000000,-1941.699951,93.119995,0.000000,1844.589966,-6.340000,-0.430477,0.000003,0.000003,0.902602,-3.364100,0.000000,0.000000
67,0.000000,-1926.380005,93.150002,0.000000,1838.669922,3.800000,-0.443645,0.000003,0.000003,0.896202,-3.513200,0.000000,0.000000
68,0.000000,-1911.069946,93.150002,0.000000,1837.630005,0.000000,-0.456776,0.000003,0.000003,0.889581,-3.528700,0.000000,0.000000
69,0.000000,-1895.779907,93.150002,0.000000,1835.260010,0.000000,-0.469999,0.000003,0.000003,0.882667,-3.580600,0.000000,0.000000
70,0.000000,-1880.510010,93.150002,0.000000,1832.890015,0.000000,-0.483303,0.000003,0.000003,0.875453,-3.632500,0.000000,0.000000
71,0.000000,-1865.260010,93.150002,0.000000,1830.520020,0.000000,-0.496687,0.000003,0.000003,0.867930,-3.684400,0.000000,0.000000
72,0.000000,-1850.029907,93.150002,0.000000,1828.149902,0.000000,-0.510137,0.000003,0.000003,0.860093,-3.736300,0.000000,0.000000
73,0.000000,-1834.809937,93.150002,0.000000,1825.779907,0.000000,-0.523651,0.000003,0.000003,0.851933,-3.788200,0.000000,0.000000
74,0.000000,-1819.609985,93.150002,0.000000,1823.419922,0.000000,-0.537213,0.000003,0.000003,0.843446,-3.840100,0.000000,0.000000
