frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
53,0.000000,0.000000,1835.729980,0.000000,0.000000,-284.929993,0.000003,0.969950,0.000003,0.243304,0.000000,6.000000,0.000000
54,0.000000,0.000000,1833.309937,0.000000,0.000000,-290.269989,0.000003,0.975728,0.000003,0.218984,0.000000,6.000000,0.000000
55,0.000000,0.000000,1830.849976,0.000000,0.000000,-295.609985,0.000003,0.980898,0.000003,0.194524,0.000000,6.000000,0.000000
56,0.000000,0.000000,1828.339966,0.000000,0.000000,-300.949982,0.000003,0.985454,0.000003,0.169945,0.000000,6.000000,0.000000
57,0.000000,0.000000,1825.789917,0.000000,0.000000,-306.289978,0.000003,0.989394,0.000003,0.145258,0.000000,6.000000,0.000000
58,0.000000,0.000000,1823.189941,0.000000,0.000000,-311.619995,0.000003,0.992716,0.000003,0.120480,0.000000,6.000000,0.000000
59,0.000000,0.000000,1820.549927,0.000000,0.000000,-316.949982,0.000003,0.995417,0.000003,0.095626,0.000000,6.000000,0.000000
60,0.000000,0.000000,1817.859985,0.000000,0.000000,-322.279999,0.000003,0.997497,0.000003,0.070713,0.000000,6.000000,0.000000
61,0.000000,0.000000,1815.130005,0.000000,0.000000,-327.609985,0.000003,0.998953,0.000003,0.045756,0.000000,6.000000,0.000000
62,0.000000,0.000000,1812.359985,0.000000,0.000000,-332.940002,0.000003,0.999784,0.000003,0.020773,0.000000,6.000000,0.000000
63,0.000000,0.000000,1809.539917,0.000000,0.000000,-338.269989,0.000003,0.999991,0.000003,-0.004227,0.000000,6.000000,0.000000
64,0.000000,0.000000,1806.679932,0.000000,0.000000,-343.600006,0.000003,0.999573,0.000003,-0.029221,0.000000,6.000000,0.000000
65,0.000000,0.000000,1803.770020,0.000000,0.000000,-348.919983,0.000003,0.998530,0.000003,-0.054199,0.000000,6.000000,0.000000
66,0.000000,0.000000,1800.819946,0.000000,0.000000,-354.239990,0.000003,0.996863,0.000003,-0.079145,0.000000,6.000000,0.000000
67,0.000000,0.000000,1797.819946,0.000000,0.000000,-359.559998,0.000003,0.994573,0.000003,-0.104036,0.000000,6.000000,0.000000
68,0.000000,0.000000,1794.779907,0.000000,0.000000,-364.880005,0.000003,0.991662,0.000003,-0.128863,0.000000,6.000000,0.000000
69,0.000000,0.000000,1791.689941,0.000000,0.000000,-370.199982,0.000003,0.988132,0.000003,-0.153609,0.000000,6.000000,0.000000
70,0.000000,0.000000,1788.559937,0.000000,0.000000,-375.519989,0.000003,0.983983,0.000003,-0.178264,0.000000,6.000000,0.000000
71,0.000000,0.000000,1785.390015,0.000000,0.000000,-380.839996,0.000003,0.979219,0.000003,-0.202805,0.000000,6.000000,0.000000
72,0.000000,0.000000,1782.169922,0.000000,0.000000,-386.160004,0.000003,0.973843,0.000003,-0.227222,0.000000,6.000000,0.000000
73,0.000000,0.000000,1778.909912,0.000000,0.000000,-391.470001,0.000003,0.967859,0.000003,-0.251493,0.000000,6.000000,0.000000
74,0.000000,0.000000,1775.599976,0.000000,0.000000,-396.779999,0.000003,0.961270,0.000003,-0.275608,0.000000,6.000000,0.000000
75,0.000000,0.000000,1772.250000,0.000000,0.000000,-402.089996,0.000003,0.954081,0.000003,-0.299550,0.000000,6.000000,0.000000
76,0.000000,0.000000,1768.849976,0.000000,0.000000,-407.399994,0.000003,0.946295,0.000003,-0.323303,0.000000,6.000000,0.000000
77,0.000000,0.000000,1765.409912,0.000000,0.000000,-412.709991,0.000003,0.937918,0.000003,-0.346857,0.000000,6.000000,0.000000
78,0.000000,0.000000,1761.929932,0.000000,0.000000,-418.019989,0.000003,0.928954,0.000003,-0.370195,0.000000,6.000000,0.000000
79,0.000000,0.000000,1758.399902,0.000000,0.000000,-423.329987,0.000003,0.919410,0.000003,-0.393301,0.000000,6.000000,0.000000
80,0.000000,0.000000,1754.829956,0.000000,0.000000,-428.630005,0.000003,0.909292,0.000003,-0.416159,0.000000,6.000000,0.000000
81,0.000000,0.000000,1751.209961,0.000000,0.000000,-433.929993,0.000003,0.898605,0.000003,-0.438758,0.000000,6.000000,0.000000
82,0.000000,0.000000,1747.549927,0.000000,0.000000,-439.229980,0.000003,0.887358,0.000003,-0.461082,0.000000,6.000000,0.000000
