frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
49,False,False,0.370000,0.000000,93.809998,0.000000,0.000000,54.639999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
50,False,False,0.370000,0.000000,94.220001,0.000000,0.000000,49.219997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
51,False,False,0.370000,0.000000,94.589996,0.000000,0.000000,43.799999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
52,False,False,0.370000,0.000000,94.909996,0.000000,0.000000,38.379997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
53,False,False,0.370000,0.000000,95.180000,0.000000,0.000000,32.959999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
54,False,False,0.370000,0.000000,95.409996,0.000000,0.000000,27.539999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
55,False,False,0.370000,0.000000,95.589996,0.000000,0.000000,22.119999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
56,False,False,0.370000,0.000000,95.729996,0.000000,0.000000,16.699999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
57,False,False,0.370000,0.000000,95.820000,0.000000,0.000000,11.280000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
58,False,False,0.370000,0.000000,95.869995,0.000000,0.000000,5.860000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
59,False,False,0.370000,0.000000,95.869995,0.000000,0.000000,0.440000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
60,False,False,0.370000,0.000000,95.829994,0.000000,0.000000,-4.970000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
61,False,False,0.370000,0.000000,95.739998,0.000000,0.000000,-10.380000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
62,False,False,0.370000,0.000000,95.610001,0.000000,0.000000,-15.790000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
63,False,False,0.370000,0.000000,95.430000,0.000000,0.000000,-21.199999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
64,False,False,0.370000,0.000000,95.209999,0.000000,0.000000,-26.609999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
65,False,False,0.370000,0.000000,94.939995,0.000000,0.000000,-32.020000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
66,False,False,0.370000,0.000000,94.629997,0.000000,0.000000,-37.430000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
67,False,False,0.370000,0.000000,94.269997,0.000000,0.000000,-42.840000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
68,False,False,0.370000,0.000000,93.869995,0.000000,0.000000,-48.250000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
69,False,False,0.370000,0.000000,93.419998,0.000000,0.000000,-53.660000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
70,False,False,0.370000,0.000000,92.930000,0.000000,0.000000,-59.070000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
71,False,False,0.370000,0.000000,92.389999,0.000000,0.000000,-64.479996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
72,False,False,0.370000,0.000000,91.809998,0.000000,0.000000,-69.889999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
73,False,False,0.370000,0.000000,91.180000,0.000000,0.000000,-75.299995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
74,False,False,0.370000,0.000000,90.509995,0.000000,0.000000,-80.709999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
75,False,False,0.370000,0.000000,89.790001,0.000000,0.000000,-86.119995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
76,False,False,0.370000,0.000000,89.029999,0.000000,0.000000,-91.529999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
77,False,False,0.370000,0.000000,88.220001,0.000000,0.000000,-96.939995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
