frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
56,True,True,-1.000000,0.000000,1.110000,1002.039978,0.000000,420.919983,0.580000,-0.705505,0.705508,-0.047547,-0.047553,-5.499900,0.000000,0.000000,0.000000,320.529999,974.449951,0.000000,785.559998,-61.049999,0.450977,0.000003,0.000003,0.892536,2.291600,0.000000,0.000000
57,True,True,-1.000000,0.000000,4.620000,1002.039978,0.000000,420.919983,0.580000,-0.703751,0.703753,-0.068792,-0.068797,-5.499900,0.000000,0.000000,0.000000,327.070007,973.940002,0.000000,785.359985,-61.029999,0.459479,0.000003,0.000003,0.888188,2.291600,0.000000,0.000000
58,True,True,-1.000000,0.000000,8.130000,1002.039978,0.000000,420.919983,0.580000,-0.701356,0.701362,-0.089972,-0.089977,-5.499900,0.000000,0.000000,0.000000,333.609985,973.429993,0.000000,785.159973,-61.009998,0.467938,0.000003,0.000003,0.883761,2.291600,0.000000,0.000000
59,True,True,-1.000000,0.000000,11.639999,1002.039978,0.000000,420.919983,0.580000,-0.698324,0.698333,-0.111071,-0.111077,-5.499900,0.000000,0.000000,0.000000,340.149994,972.919983,0.000000,784.959961,-60.989998,0.476354,0.000003,0.000003,0.879253,2.291600,0.000000,0.000000
60,True,True,-1.000000,0.000000,15.150000,1002.039978,0.000000,420.919983,0.580000,-0.694661,0.694666,-0.132068,-0.132073,-5.499900,0.000000,0.000000,0.000000,346.690002,972.409973,0.000000,784.760010,-60.969997,0.484727,0.000003,0.000003,0.874665,2.291600,0.000000,0.000000
61,True,True,-1.000000,0.000000,18.660000,1002.039978,0.000000,420.919983,0.580000,-0.690367,0.690368,-0.152946,-0.152951,-5.499900,0.000000,0.000000,0.000000,353.229980,971.899963,0.000000,784.559998,-60.949997,0.493057,0.000003,0.000003,0.869997,2.291600,0.000000,0.000000
62,True,True,-1.000000,0.000000,22.170000,1002.039978,0.000000,420.919983,0.580000,-0.685441,0.685446,-0.173683,-0.173689,-5.499900,0.000000,0.000000,0.000000,359.769989,971.389954,0.000000,784.359985,-60.930000,0.501343,0.000003,0.000003,0.865249,2.291600,0.000000,0.000000
63,True,True,-1.000000,0.000000,25.680000,1002.039978,0.000000,420.919983,0.580000,-0.679895,0.679899,-0.194265,-0.194270,-5.499900,0.000000,0.000000,0.000000,366.299988,970.880005,0.000000,784.159973,-60.910000,0.509581,0.000003,0.000003,0.860423,2.291600,0.000000,0.000000
64,True,True,-1.000000,0.000000,29.189999,1002.039978,0.000000,420.919983,0.580000,-0.673729,0.673737,-0.214668,-0.214673,-5.499900,0.000000,0.000000,0.000000,372.829987,970.369995,0.000000,783.959961,-60.889999,0.517776,0.000003,0.000003,0.855516,2.291600,0.000000,0.000000
65,True,True,-1.000000,0.000000,32.700001,1002.039978,0.000000,420.919983,0.580000,-0.666953,0.666961,-0.234877,-0.234882,-5.499900,0.000000,0.000000,0.000000,379.359985,969.859985,0.000000,783.760010,-60.869999,0.525922,0.000003,0.000003,0.850533,2.291600,0.000000,0.000000
